id,area_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,bbox_aspect_ratio,length_px,mean_width_px,max_width_px,orientation_deg,visual_severity
1,454,207.98,4.26,154,0,94,16,5.88,96,5.25,8.4,6.23,alta
2,263,637.67,64.85,615,61,47,9,5.22,46,5.63,8.0,4.06,baja
3,4682,176.68,184.48,44,140,223,88,2.53,579,8.41,18.78,-10.67,alta
4,709,30.99,206.47,0,198,72,21,3.43,109,6.41,10.39,-7.22,alta
5,319,343.18,349.86,336,321,17,55,3.24,57,4.93,8.39,86.26,alta
6,802,76.87,358.23,15,346,122,21,5.81,152,5.16,10.0,-1.99,alta
