id,area_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,bbox_aspect_ratio,length_px,mean_width_px,max_width_px,orientation_deg,visual_severity
1,11220,529.25,290.09,469,0,146,534,3.66,1561,7.63,19.58,78.07,alta
2,441,598.71,52.67,585,22,23,67,2.91,93,4.58,7.19,78.62,media
3,318,710.83,102.92,703,75,18,57,3.17,74,4.13,6.0,85.3,media
4,595,95.25,284.13,76,238,35,93,2.66,102,5.04,11.59,-68.31,alta
5,320,687.02,305.05,677,280,20,52,2.6,77,3.96,6.0,-85.44,media
6,2160,316.81,402.69,285,294,64,198,3.09,449,4.82,10.39,-77.47,alta
7,617,97.34,329.75,85,299,26,67,2.58,128,4.79,10.39,-75.13,alta
8,662,749.26,346.3,734,309,32,80,2.5,127,4.86,8.79,79.54,alta
9,549,59.62,371.77,45,339,27,69,2.56,120,4.51,6.39,-83.96,media
10,474,615.67,390.34,602,358,24,64,2.67,111,4.11,6.39,81.29,media
11,428,189.2,412.2,179,375,20,67,3.35,70,5.08,8.39,-88.28,alta
12,894,678.12,445.12,664,392,34,99,2.91,196,4.47,7.19,86.51,media
13,268,706.8,434.29,700,412,16,46,2.88,57,4.46,8.0,-88.37,baja
14,294,216.64,445.03,209,425,17,43,2.53,53,4.9,8.39,-79.23,baja
15,392,519.92,460.97,509,436,21,56,2.67,78,5.02,8.0,86.07,alta
16,434,196.12,471.41,187,444,21,55,2.62,102,4.23,8.0,-87.63,alta
17,300,323.13,472.19,313,447,17,45,2.65,69,4.42,7.19,-87.06,media
18,522,338.16,491.87,322,456,25,78,3.12,114,4.45,8.0,88.07,alta
